Date,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH
1,1025.1,1028.5,1023.3,8.1,9.9,7.4,86,71,1031.7,1034.5,1027,2.1,6,-1.1,50,22,1018.7,1022.3,1016.9,13.5,15.1,11.5,89,71,1011.7,1016.3,1008.3,11.7,15.3,10.1,78,60,1011.2,1014.5,1008.5,18.5,22.6,16,69,46,1002.8,1007.2,1000.1,21.1,23.5,18.6,87,71,1003.2,1003.9,1002.2,30.1,33,27.6,67,54,1002.7,1004.4,1000.5,33.3,37.8,29.2,56,36,1003.7,1005.4,1001.8,24.9,28.5,23.2,86,75,1014.3,1016.5,1012.1,24.5,28.8,20.4,64,66,1025.1,1027.4,1022.4,14.2,16.3,12.4,55,50,1025,1027.8,1022.1,11.4,16.4,6.1,75,51
2,1025.2,1026.7,1023.5,6.5,7.4,6,84,73,1031.2,1032.9,1029,2.2,8.5,-3.3,56,20,1017.3,1018.5,1015.8,16.7,19.8,14.1,84,71,1019.7,1024.9,1014.5,11,13.1,9.9,67,48,1013.2,1015.5,1010.1,19.2,25.7,14,66,41,1005.5,1007.4,1002.6,19.3,21.4,18.5,86,77,1003.9,1005,1002.5,27.4,31,25.4,79,62,1002.7,1003.5,1000.6,31.2,37.9,29.4,65,40,1007.3,1008.6,1005.4,24.5,28.8,22.7,81,63,1014.6,1016.1,1013.5,26.1,29.8,23.6,60,62,1024.7,1027.3,1021.8,11.2,16.5,7.7,65,20,1020.6,1024.3,1018.8,10.7,13.5,8.8,84,67
3,1026.1,1027.8,1025.1,5,6.9,4.2,86,77,1024.8,1029.7,1022,6.2,15.3,1.4,53,22,1014.7,1017.6,1010,17.2,20.8,15.3,88,75,1026.3,1028.5,1024.3,9,13.3,5.3,52,26,1009.5,1012.2,1006.8,22.7,30,17.5,69,33,1009.3,1010.6,1007.4,20.7,23.2,18.7,84,70,1002.6,1004.8,999.2,30.4,34.7,26,69,48,1003.9,1005.8,1001.8,29.9,34.4,27.6,68,52,1009.2,1010.1,1008.4,22.3,25.1,20.6,84,63,1015.4,1017.1,1014.1,26.5,31.3,23.6,73,44,1024.8,1026.7,1023.4,12.2,18.4,6.3,65,23,1028.2,1031.1,1024.1,7.5,11.4,4.9,72,37
4,1027.1,1029.2,1025.7,5.9,7.4,4.2,82,78,1022.7,1024.5,1019.8,7.8,16.6,0.8,58,17,1009,1016.8,1004.3,13.1,18.1,8.3,79,60,1025.8,1027.8,1023.6,11.9,17.3,6.8,49,23,1007.9,1009.4,1005.7,22.1,24.5,19.7,76,60,1009.5,1011.5,1006.8,21.1,23,19.6,77,68,1001.9,1005,999.6,25.3,32.1,23.2,85,64,1004.2,1005,1003,29.7,34.2,26.5,67,47,1009,1010.2,1007.9,21,23.7,18.8,89,78,1015.9,1017.2,1014.4,25.6,29.4,21.8,78,53,1026.5,1028.1,1025,14.1,18.3,10.2,69,46,1033.2,1035.2,1031.1,5.9,11.6,2.3,83,61
5,1027.1,1029,1025.2,5,6.5,4.3,84,76,1018.7,1020.3,1016.7,12.3,21.5,8.2,57,23,1024.3,1029,1016.5,4.3,8.3,2.4,62,51,1023.8,1026,1021.1,11.8,15.2,7.8,65,38,1005.3,1008,1002.5,22.4,25.9,19.7,67,47,1007.2,1008.4,1006.3,22,26,19.7,81,56,1002.5,1004.4,1000.7,28.5,32.7,24.9,79,66,1005.5,1006.7,1004.4,28.7,32.8,24.7,73,58,1008.5,1009.6,1007.1,22.9,26.6,21.4,87,66,1014.1,1016.6,1011.3,24.8,28.5,21.8,83,63,1024.7,1026.2,1023.1,14.9,17.2,13.4,73,58,1033.3,1035.7,1030.1,6.8,11.6,1.7,73,35
6,1028.2,1030.7,1026.3,3.1,5,1.7,57,30,1019.8,1021.6,1018.2,14.3,23.5,7.8,65,24,1029.6,1031.6,1026.8,1.9,4.9,-1.2,60,44,1021.9,1023.3,1020.3,13.9,19.2,8.3,66,39,1006.3,1008.8,1001.6,18.4,22.8,15.7,65,41,1008.4,1009.6,1007.1,23.2,26.1,20.7,74,61,1001.1,1002.4,999.8,30.5,33.6,28.6,72,55,1006.5,1008,1004.6,30,34.6,25.7,68,50,1008.1,1009.2,1006.7,24.2,29,21.2,76,53,1010.3,1012.9,1008.1,24.7,28.6,20.4,83,63,1023.3,1024.6,1021.7,14.5,19,12.1,81,50,1025.1,1030.3,1022.4,8.3,9.7,6.6,77,59
7,1031.5,1033.8,1029.5,0.9,4.7,-1.4,51,31,1020.8,1023.2,1019,10.8,14.2,6,81,57,1025,1027.3,1022,3.4,8.1,-1.2,57,37,1020.9,1022.7,1018.1,15.5,20.9,8.7,58,29,1009.5,1011,1008.3,21.6,27.9,14,45,17,1007.8,1008.6,1006.4,24,27.5,20.8,72,56,1002.7,1004.2,1001.3,26.4,31,25.5,85,69,1005,1007,1002.8,31,35,27.7,62,43,1008.4,1009.8,1006.9,25,29.2,20.2,70,40,1006.6,1009,1004.2,25.2,27.9,23,94,85,1021,1023.4,1018.5,14.8,21.1,10.6,34,43,1026.6,1028.4,1025.2,6.9,10.6,3.4,70,25
8,1031.9,1034.3,1030.7,1.1,6.3,-1.7,59,19,1020.3,1022.7,1018.1,10.5,12.3,8.5,69,86,1023.7,1025.3,1022,6.7,10.5,0.4,57,36,1020.5,1023.3,1018.5,13.9,19.1,10.7,60,41,1010.5,1012.1,1008.3,23.9,31.5,16.9,43,20,1008,1009.2,1006.8,24.9,30.2,21,70,44,1000.9,1004.2,998.6,26.2,30.3,24,84,67,1004.4,1006.1,1003.2,31.2,35.3,28.1,65,50,1008.8,1009.9,1007.5,25.6,30.1,22.7,64,42,1009.2,1014.1,1005.7,19.5,23,17.3,91,77,1019.1,1020.3,1017.9,15.4,20.3,11.3,33,41,1027.4,1029.4,1025,5.1,10.9,0.4,78,30
9,1030.1,1032.6,1027,1.6,7.9,-2.3,72,31,1021.3,1022.8,1019.3,7.2,9,6.2,88,75,1022.6,1024.6,1019.4,9.2,14.9,4,63,34,1022,1023.6,1019.3,13.6,19.1,6.8,46,20,1010.8,1016.1,1008.2,20.9,25.8,17.4,68,43,1008,1009,1007,24.9,30.1,21.2,71,47,997,1000.2,995.3,28.2,30.3,26.2,81,72,1005.2,1006.5,1003.5,31,34.5,28.6,68,52,1010.2,1011.8,1009.3,25.4,29.2,22.8,69,38,1016.7,1018.8,1014,18.5,21.7,16.4,70,52,1021.4,1023,1020.2,14.6,19.6,11.1,35,52,1023.8,1026.7,1021,9.9,15.5,3.2,74,46
10,1030.2,1032.3,1029.1,2.9,9.6,-2.6,67,24,1021.6,1024.3,1019.9,7.4,13.1,4.7,78,45,1019.7,1024.8,1016.8,10.2,15.1,6.9,65,46,1018.9,1021.1,1016.8,15.5,21.4,12.3,59,35,1017.3,1019.5,1015.4,18,23.3,12.7,59,29,1009.2,1010.1,1008.2,22.9,26.1,20.4,67,49,997.9,999.5,996.7,26.5,29.4,24.7,90,77,1002.9,1006,1000,30.6,34.8,28.5,65,48,1012.1,1013.3,1011.2,24.8,29.1,20.7,64,32,1018.3,1019.8,1016.9,18.6,23.3,14.6,73,47,1024.2,1025.7,1022.9,12.7,17.4,9.6,70,34,1018.2,1021.5,1015.8,12,13.4,9.9,89,64
